estado,municipio,ano_ingreso
Aguascalientes,Real de Asientos,2006
Aguascalientes,Calvillo,2012
Aguascalientes,San Jos‚ de Gracia,2015
Baja California,Tecate,2012
Baja California Sur,Todos Santos,2006
Baja California Sur,Loreto,2012
Campeche,Palizada,2011
Coahuila,Parras de la Fuente,2004
Coahuila,Cuatroci‚negas,2012
Coahuila,Arteaga,2012
Coahuila,Viesca,2012
Coahuila,Candela,2015
Coahuila,Guerrero,2015
Colima,C¢mala,2002
Chiapas,San Crist¢bal de las Casas,2003
Chiapas,Comit n,2012
Chiapas,Chiapa de Corzo,2012
Chiapas,Palenque,2015
Chihuahua,Creel,2007
Chihuahua,Batopilas,2012
Chihuahua,Casas Grandes,2015
Durango,Mapim¡,2012
Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,2002
Guanajuato,Mineral de Pozos,2012
Guanajuato,Jalpa,2012
Guanajuato,Salvatierra,2012
Guanajuato,Yuriria,2012
Guerrero,Taxco,2002
Hidalgo,Real del Monte,2004
Hidalgo,Huasca de Ocampo,2001
Hidalgo, Mineral del Chico,2011
Hidalgo,Huichapan,2012
Hidalgo,Tecozahutla,2015
Jalisco , Mazamitla,2005
Jalisco ,Tapalpa,2002
Jalisco ,Tequila,2003
Jalisco ,San Sebasti n del Oeste,2011
Jalisco ,Lagos de Moreno,2012
Jalisco ,Mascota,2015
Jalisco ,Talpa de Allende,2015
M‚xico, Malinalco,2010
M‚xico,Tepotzotl n,2002
M‚xico,Valle de Bravo,2005
M‚xico,El Oro,2011
M‚xico,Metepec,2012
M‚xico,Aculco,2015
M‚xico,Ixtapan de la Sal,2015
M‚xico,Teotihuac n y San Mart¡n de las Pir mides,2015
M‚xico,Villa del Carb¢n,2015
Michoac n,Cuitzeo,2006
Michoac n,P tzcuaro,2002
Michoac n,Sta. Clara del Cobre,2010
Michoac n,Tlalpujahua,2005
Michoac n,Mineral de Angangueo,2012
Michoac n,Tac mbaro,2012
Michoac n, Jiquilpan,2012
Michoac n,Tzintzuntzan,2012
Morelos,Tepoztl n,2002
Morelos,Tlayacapan,2011
Nayarit,Jala,2012
Nayarit, Sayulita,2015
Nuevo Le¢n,Santiago,2006
Nuevo Le¢n,Linares,2015
Oaxaca,Capul lpam de M‚ndez,2007
Oaxaca,Huautla de Jim‚nez,2015
Oaxaca,Mazunte,2015
Oaxaca,San Pablo Villa de Mitla,2015
Oaxaca,San Pedro y San Pablo Teposcolula,2015
Puebla,Cuetzalan del Progreso,2002
Puebla, Zacatl n,2011
Puebla,Pahuatl n,2012
Puebla,Chignahuapan,2012
Puebla,Cholula,2012
Puebla,Tlatlauquitepec,2012
Puebla,Xicotepec,2012
Puebla,Atlixco,2015
Puebla, Huahuchinango,2015
Quer‚taro, Bernal,2005
Quer‚taro,Jalpan de Serra,2010
Quer‚taro, Cadereyta de Montes,2011
Quer‚taro,Tequisquiapan,2012
Quer‚taro,San Joaqu¡n,2015
Quintana Roo,Bacalar,2006
Quintana Roo,Isla Mujeres ,2015
Quintana Roo,Tulum,2015
San Luis Potos¡,Real de Catorce,2001
San Luis Potos¡,Xilitla,2011
Sinaloa,Cosal ,2005
Sinaloa,El Fuerte,2009
Sinaloa,El Rosario,2012
Sinaloa,Mocorito,2015
Sonora, µlamos,2005
Sonora,Magdalena de Kino,2012
Tabasco,Tapijulapa,2010
Tamaulipas, Mier,2007
Tamaulipas,Tula,2011
Tlaxcala,Huamantla,2007
Tlaxcala,Tlaxco,2015
Veracruz,Coatepec,2006
Veracruz,Xico,2011
Veracruz,Papantla,2012
Veracruz,Orizaba,2015
Veracruz,Zozocolco,2015
Veracruz,Coscomatepec,2015
Yucat n,Izamal,2002
Yucat n,Valladolid,2012
Zacatecas,Jerez de Garc¡a Salinas,2007
Zacatecas,Te£l de Gonz lez Ortega,2011
Zacatecas,Sombrerete,2012
Zacatecas,Pinos,2012
Zacatecas,Nochistl n,2012
